,pair,lSymbol,rSymbol,lIndicator,rIndicator,symbolPicked,reward
150986,AC,A,C,True,True,A,10
150988,CA,C,A,True,True,C,1
150991,AC,A,C,True,True,A,10
150995,CA,C,A,False,True,C,0
150997,AC,A,C,True,True,A,10
151001,AC,A,C,True,False,A,10
151002,AC,A,C,True,True,A,10
151004,AC,A,C,True,True,A,10
151009,CA,C,A,False,False,C,0
151012,AC,A,C,True,True,A,10
151014,CA,C,A,True,False,C,1
151019,CA,C,A,True,True,C,1
151022,AC,A,C,False,False,A,0
151025,CA,C,A,True,True,C,1
151031,AC,A,C,True,True,A,10
151032,CA,C,A,True,True,C,0
151034,AC,A,C,True,True,A,10
151037,AC,A,C,False,True,A,0
151043,AC,A,C,True,True,A,10
151047,AC,A,C,False,True,A,10
151048,AC,A,C,False,True,A,0
151049,CA,C,A,True,True,C,1
151059,CA,C,A,True,False,C,1
151060,CA,C,A,True,True,C,1
151065,AC,A,C,True,True,A,10
151067,CA,C,A,True,False,C,1
151068,CA,C,A,True,False,C,1
151070,CA,C,A,True,True,C,1
151072,AC,A,C,True,True,A,10
